Name,IGBO,YORUBA,IJAW,SPANISH
Upper/Lower case,,,,
A a,A a,A a a,a,"""A, a"""
B b,B b,B b b,b,"""B, b"""
C c,Ch ch,,,"""C, c"""
D d,D d,D d d,d,"""D, d"""
E e,E e,"Ẹ ẹ ɛ, E e e","e,é","""E, e"""
F f,F f,F f f,f,"""F, f"""
G g,"G g,Gb gb,Gh gh,Gw gw","G g g,GB gb ɡ͡b",g (h),"""G, g"""
H h,H h ,H h h,g (h),"""H, h"""
I i,"I i ,Ị ị",I i i,"i,i","""I , i"""
J j,J j,J j d͡ʒ,,"""J, j"""
K k,"K k,Kp kp,Kw kw",K k k,k,"""K, k"""
L l,L l,L l l,l,"""L, l"",""LL, ll"""
M m,M m,M m m,m,"""M, m"""
N n,"N n,Ṅ ṅ,Nw nw,Ny ny","""N n n,ŋ̍""",n,"""N, n"",ñ"
O o,"O o,Ọ ọ",O o o,"o,ó","""O, o"""
P p,P p,""" P p k͜p,p""",p,"""P, p"""
Q q,,Q q ɔ,,"""Q, q"""
R r,R r, R r r,r,"""R, r"",""RR, rr"""
S s,"S s,Sh sh","S s s,Ṣ ṣ ʃ",s,"""S, s"""
T t,T t,T t t,t,"""T, t"""
U u,"U u,Ụ ụ",U u u,"u,ù","""U, u"""
V v,V v,,v,"""V, v"""
W w,W w,W w w,w,"""W, w"""
X x,,,,"""X, x"""
Y y,Y y,Y y y,y,"""Y, y"""
Z z,Z z,,z,"""Z, z"""
